label,timestamp,lineage,run_dir,reward_weight_count
R110,2026-06-01 00:01:38,v3,logs/rsl_rl/kbot_forward_flat/2026-06-01_00-01-38_v3_speed075_step060_clearance_overtake030_w100_no_mirror_from_400_to_500_save25,53
R111,2026-05-31 23:36:13,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_23-36-13_v3_speed075_step060_clearance_overtake030_w100_no_mirror_latest300_213215_to_400_save25,53
R112,2026-05-31 23:31:21,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_23-31-21_v3_speed075_step060_clearance_overtake030_w100_no_mirror_from_300_to_400_save25,53
R113,2026-05-31 21:32:15,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_21-32-15_v3_speed075_step060_clearance_overtake030_w100_continue_300_to_400_save25,54
R114,2026-05-31 21:14:35,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_21-14-35_v3_speed075_step060_clearance_overtake030_w100_from_200_to_300_save25,54
R115,2026-05-31 20:51:08,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_20-51-08_v3_speed075_step060_clearance_overtake030_from_200_to_300_save25,54
R116,2026-05-31 18:35:27,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_18-35-27_v3_speed075_step060_incremental_clearance_from_200_to_300_save25,54
R117,2026-05-31 03:56:23,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_03-56-23_v3_speed075_step060_upright_gate_oldfloors_continue_100_to_200_save25,53
R118,2026-05-31 03:42:10,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_03-42-10_v3_speed075_step060_upright_gate_oldfloors_repeat_from_zero_100iter,53
R119,2026-05-31 03:19:55,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_03-19-55_v3_speed075_step060_upright_gate_oldfloors_from_zero_100iter,53
R120,2026-05-31 03:04:11,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_03-04-11_v3_speed075_step060_upright_forward_gate_from_zero_100iter,53
R121,2026-05-31 03:03:15,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_03-03-15_v3_upright_forward_gate_startup_check,53
R122,2026-05-31 02:43:45,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_02-43-45_v3_speed075_step060_denseforward_repeat_from_zero_50iter,53
R123,2026-05-31 02:33:34,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_02-33-34_v3_speed075_step060_denseforward_from_zero_50iter,53
R124,2026-05-31 02:07:06,v3,logs/rsl_rl/kbot_forward_flat/2026-05-31_02-07-06_v3_speed075_step060_from_zero_50iter,53
R125,2026-05-30 21:21:23,v3,logs/rsl_rl/kbot_forward_flat/2026-05-30_21-21-23_v3_648handtuned_footflat0_from_zero_100iter,53
R126,2026-05-19 17:22:33,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-19_17-22-33_v2_5_s4_2_valid008_dense12_from_648,59
R127,2026-05-19 14:51:24,v1,logs/rsl_rl/kbot_forward_flat/2026-05-19_14-51-24_v1_hybrid_width_lane_continue_from_11850,44
R128,2026-05-19 14:21:50,v1,logs/rsl_rl/kbot_forward_flat/2026-05-19_14-21-50_v1_hybrid_width_lane_from_11791,44
R129,2026-05-16 02:39:02,v1,logs/rsl_rl/kbot_forward_flat/2026-05-16_02-39-02_v1_best_11791_s4_2_chatter_only,59
R130,2026-05-15 16:51:22,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_16-51-22_v2_5_s4_2_apv_dominant_from_648,59
R131,2026-05-15 16:47:01,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_16-47-01_v2_5_s4_2_apv_gate_75hz_from_648,59
R132,2026-05-15 16:42:06,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_16-42-06_v2_5_s4_2_apv_gate_recover_from_648,59
R133,2026-05-15 16:03:47,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_16-03-47_v2_5_s4_2_chatter_from_648,59
R134,2026-05-15 15:34:16,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_15-34-16_v2_5_step_gate_007_policyonly_from_964,59
R135,2026-05-15 14:36:39,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_14-36-39_v2_5_step_gate_007_normal_continue_from_964,59
R136,2026-05-15 14:30:16,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_14-30-16_v2_5_step_gate_007_normal_continue_from_885,59
R137,2026-05-15 09:08:45,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_09-08-45_v2_5_step_gate_007_2x_speed_from_885,59
R138,2026-05-15 08:43:54,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_08-43-54_v2_5_step_gate_007_from_806,59
R139,2026-05-15 08:40:57,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_08-40-57_v2_5_step_gate_008_continue_from_885,59
R140,2026-05-15 08:35:27,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_08-35-27_v2_5_step_gate_008_from_806,59
R141,2026-05-15 08:03:23,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_08-03-23_v2_5_step_gate_006_from_relaxed_727,59
R142,2026-05-15 07:04:37,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_07-04-37_v2_5_relaxed_step_gate_from_648,59
R143,2026-05-15 07:03:31,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_07-03-31_v2_5_relaxed_step_gate_from_648,59
R144,2026-05-15 06:21:49,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_06-21-49_v2_5_dense_step_w6_margin_w8_from_648,59
R145,2026-05-15 06:17:36,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_06-17-36_v2_5_dense_step_w3_margin_w4_from_648,59
R146,2026-05-15 06:13:35,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-15_06-13-35_v2_5_dense_step_w1_margin_w2_from_648,59
R147,2026-05-10 05:44:01,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-10_05-44-01_v2_5_step_margin_short_penalty_from_648,58
R148,2026-05-10 05:36:30,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-10_05-36-30_v2_5_step_margin_from_648,58
R149,2026-05-09 12:01:59,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_12-01-59_v2_5_walk_only_smooth_strict_actionrate_from_648,57
R150,2026-05-09 11:57:49,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_11-57-49_v2_5_walk_only_smooth_strict_from_648,57
R151,2026-05-09 11:52:33,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_11-52-33_v2_5_walk_only_strict_cadence_from_648,57
R152,2026-05-09 11:45:56,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_11-45-56_v2_5_walk_only_supported_advance_from_648,57
R153,2026-05-09 03:00:21,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_03-00-21_v2_5_walk_only_contact_quality_from_648_retry,56
R154,2026-05-09 02:36:29,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_02-36-29_v2_5_walk_only_contact_quality_from_648,56
R155,2026-05-09 01:21:36,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_01-21-36_v2_5_gait_quality_continue_from_947,53
R156,2026-05-09 01:00:12,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_01-00-12_v2_5_gait_quality_continue_from_648,53
R157,2026-05-09 00:16:45,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_00-16-45_v2_5_pose_gait_quality_from_v2_5_349_fsep_ksep,53
R158,2026-05-09 00:07:27,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_00-07-27_v2_5_pose_forward_width_heading_guard_from_zero_fsep_ksep,52
R159,2026-05-09 00:01:36,v2.5,logs/rsl_rl/kbot_forward_flat/2026-05-09_00-01-36_v2_5_pose_forward_width_guard_from_zero_fsep_ksep,52
